NAME,PLACE_KEY,CAPITAL,POPULATION,PCLASS
Adak,0201600065,N,2500,2
Akhiok,0215000650,N,77,1
Akiachak,0205000760,N,2500,2
Akiak,0205000870,N,285,1
Akutan,0201301090,N,589,1
Alakanuk,0227001200,N,544,1
Alatna,0229001305,N,2500,2
Alcan Border,0224001390,N,2500,2
Aleknagik,0207001420,N,185,1
Aleneva,0215001560,N,2500,2
Allakaket,0229001860,N,2500,2
Alpine,0218501882,N,2500,2
Ambler,0218801970,N,311,1
Anaktuvuk Pass,0218502080,N,259,1
Anchorage,0202003000,N,226338,5
Anchor Point,0212203110,N,2500,2
Anderson,0206803220,N,2500,2
Angoon,0223203440,N,2500,2
Aniak,0205003550,N,540,1
Anvik,0229003880,N,82,1
Arctic Village,0229003990,N,2500,2
Atka,0201604210,N,2500,2
Atmautluak,0205004430,N,2500,2
Atqasuk,0218504500,N,216,1
Attu Station,0201604670,N,2500,2
Barrow,0218505200,N,3469,2
Bear Creek,0212205585,N,2500,2
Beaver,0229005750,N,2500,2
Beluga,0212206245,N,2500,2
Bethel,0205006520,N,4674,2
Bettles,0229006630,N,36,1
Big Delta,0224006850,N,2500,2
Big Lake,0217007070,N,2500,2
Birch Creek,0229007620,N,2500,2
Brevig Mission,0218008740,N,198,1
Buckland,0218809600,N,318,1
Buffalo Soapstone,0217009657,N,2500,2
Butte,0217009710,N,2500,2
Cantwell,0206810150,N,2500,2
Central,0229011690,N,2500,2
Chalkyitsik,0229011800,N,2500,2
Chase,0217012350,N,2500,2
Chefornak,0205012680,N,320,1
Chenega,0226112970,N,2500,2
Chickaloon,0217013340,N,2500,2
Chicken,0224013450,N,2500,2
Chignik,0216413550,N,188,1
Chignik Lagoon,0216413670,N,2500,2
Chignik Lake,0216413780,N,2500,2
Chiniak,0215013860,N,2500,2
Chisana,0226113890,N,2500,2
Chistochina,0226114000,N,2500,2
Chitina,0226114110,N,2500,2
Chuathbaluk,0205014330,N,97,1
Chugiak,0202014770,N,7500,2
Circle,0229014880,N,2500,2
Clam Gulch,0212215320,N,2500,2
Clark's Point,0207015450,N,60,1
Coffman Cove,0220116360,N,186,1
Cohoe,0212216420,N,2500,2
Cold Bay,0201316530,N,148,1
Coldfoot,0229016630,N,2500,2
College,0209016750,N,15000,3
Cooper Landing,0212217190,N,2500,2
Copper Center,0226117300,N,2500,2
Copperville,0226117380,N,2500,2
Cordova,0226117410,N,2110,1
Covenant Life,0210017670,N,2500,2
Craig,0220117740,N,1260,1
Crooked Creek,0205017850,N,2500,2
Crown Point,0212217960,N,2500,2
Cube Cove,0223218030,N,2500,2
Deering,0218818510,N,157,1
Delta Junction,0224018620,N,652,1
Deltana,0224018675,N,2500,2
Diamond Ridge,0212218925,N,2500,2
Dillingham,0207018950,N,2017,1
Diomede,0218019060,N,2500,2
Dot Lake,0224019720,N,2500,2
Dot Lake Village,0224019750,N,2500,2
Dry Creek,0224020020,N,2500,2
Eagle,0224020380,N,168,1
Eagle River,0202020490,N,35000,4
Eagle Village,0224020600,N,2500,2
Edna Bay,0220120970,N,2500,2
Eek,0205021040,N,254,1
Egegik,0216421150,N,2500,2
Eielson AFB,0209021370,N,7500,2
Ekwok,0207021810,N,77,1
Elfin Cove,0223222140,N,2500,2
Elim,0218022250,N,2500,2
Emmonak,0227022910,N,642,1
English Bay,0212223130,N,0,1
Ester,0209023460,N,2500,2
Evansville,0229023790,N,2500,2
Excursion Inlet,0223223900,N,0,1
Fairbanks,0209024230,N,30843,4
False Pass,0201324660,N,2500,2
False Pass,0201324670,N,69,1
Farm Loop,0217025000,N,2500,2
Ferry,0206825220,N,2500,2
Fishhook,0217025550,N,2500,2
Flat,0229025880,N,2500,2
Fort Greely,0224026100,N,2500,2
Fort Richardson,0202026210,N,7500,2
Fort Yukon,0229026760,N,580,1
Four Mile Road,0229026835,N,2500,2
Fox,0209026870,N,2500,2
Fox River,0212226910,N,2500,2
Fritz Creek,0212227090,N,2500,2
Funny River,0212227145,N,2500,2
Gakona,0226127420,N,2500,2
Galena,0229027530,N,833,1
Gambell,0218027640,N,525,1
Game Creek,0223227700,N,2500,2
Gateway,0217028200,N,2500,2
Girdwood,0202028410,N,0,1
Glacier View,0217028590,N,2500,2
Glennallen,0226128740,N,2500,2
Golovin,0218029180,N,127,1
Goodnews Bay,0205029290,N,241,1
Grayling,0229030060,N,208,1
Gulkana,0226130500,N,2500,2
Gustavus,0223230940,N,2500,2
Haines,0210031050,N,1238,1
Halibut Cove,0212231270,N,2500,2
Happy Valley,0212231710,N,2500,2
Harding-Birch Lakes,0209031765,N,2500,2
Healy,0206832150,N,2500,2
Healy Lake,0224032310,N,2500,2
Hobart Bay,0223232550,N,2500,2
Hollis,0220132810,N,2500,2
Holy Cross,0229033030,N,277,1
Homer,0212233140,N,3660,2
Hoonah,0223233360,N,2500,2
Hooper Bay,0227033470,N,845,1
Hope,0212233580,N,2500,2
Houston,0217033800,N,697,1
Hughes,0229033910,N,54,1
Huslia,0229034350,N,207,1
Hydaburg,0220134460,N,384,1
Hyder,0220134570,N,2500,2
Igiugig,0216434790,N,2500,2
Iliamna,0216435120,N,2500,2
Ivanof Bay,0216435890,N,2500,2
Juneau,0211036400,Y,26751,3
Kachemak,0212236550,N,2500,2
Kake,0228036770,N,700,1
Kaktovik,0218536990,N,224,1
Kalifornsky,0212237250,N,7500,2
Kaltag,0229037430,N,240,1
Karluk,0215037540,N,2500,2
Kasaan,0220137650,N,2500,2
Kasilof,0212238090,N,2500,2
Kenai,0212238420,N,6327,2
Kenny Lake,0226138910,N,2500,2
Ketchikan,0213038970,N,8263,2
Kiana,0218839300,N,385,1
King Cove,0201339410,N,677,1
King Salmon,0206039630,N,2500,2
Kipnuk,0205039740,N,2500,2
Kivalina,0218839960,N,317,1
Klawock,0220140400,N,722,1
Klukwan,0223240510,N,0,1
Knik-Fairview,0217040645,N,7500,2
Knik River,0217040670,N,2500,2
Kobuk,0218840840,N,69,1
Kodiak,0215040950,N,6365,2
Kodiak Station,0215041210,N,2500,2
Kokhanok,0216441270,N,0,1
Kokhanok,0216441280,N,2500,2
Koliganek,0207041500,N,2500,2
Kongiganak,0205041610,N,2500,2
Kotlik,0227041720,N,461,1
Kotzebue,0218841830,N,2751,2
Koyuk,0218041940,N,231,1
Koyukuk,0229042050,N,126,1
Kupreanof,0228042160,N,2500,2
Kwethluk,0205042380,N,558,1
Kwigillingok,0205042490,N,2500,2
Lake Louise,0217042805,N,2500,2
Lake Minchumina,0229042820,N,2500,2
Lakes,0217042832,N,7500,2
Larsen Bay,0215043040,N,147,1
Lazy Mountain,0217043260,N,2500,2
Levelock,0216443810,N,2500,2
Lime Village,0205044030,N,2500,2
Livengood,0229044580,N,2500,2
Lowell Point,0212245295,N,2500,2
Lower Kalskag,0205045460,N,291,1
Lutak,0210045700,N,2500,2
McCarthy,0226145790,N,2500,2
McGrath,0229046010,N,528,1
McKinley Park,0206846560,N,2500,2
Manley Hot Springs,0229046780,N,2500,2
Manokotak,0207046890,N,385,1
Marshall,0227047000,N,273,1
