FID,X,Y
F0,11952191.43110,3416873.98455
F1,11952136.30780,3416338.98463
F2,11949974.32300,3411129.29230
F3,11950691.45770,3411883.71205
F4,11949468.46310,3411484.27420
F5,11951193.99800,3411578.50400
F6,12045892.58780,3521173.77004
F7,11991993.12380,3456521.85801
F8,11993303.56630,3457273.10749
F9,11993814.64010,3457808.50110
F10,11994328.40320,3458340.76939
F11,11995086.94760,3458520.49968
F12,11992789.01320,3457136.98342
F13,11992807.11030,3457475.81345
F14,11997092.75530,3457960.40664
F15,11998052.09980,3456904.15219
F16,11997866.44800,3457203.87305
F17,12040292.93000,3514997.97006
F18,12027706.53000,3521807.25007
F19,12044515.01770,3493393.22947
F20,12061267.18270,3504736.56571
F21,12057554.09430,3511683.84184
F22,12058366.91820,3504748.85604
F23,12057919.24060,3505023.67045
F24,12057498.42220,3505288.26179
F25,12060492.40640,3502333.84414
F26,12060142.29650,3501609.51160
F27,12059649.42120,3503573.78556
F28,12059073.90530,3503144.35859
F29,12060287.13780,3500684.41240
F30,12059268.38780,3500020.52363
F31,12059744.08240,3500543.44024
F32,12059432.45710,3499639.37446
F33,12060431.38390,3500129.94828
F34,12060670.76530,3499311.77439
F35,12060757.66800,3498650.34724
F36,12060110.00460,3498251.14824
F37,12060972.83880,3498153.71503
F38,12061265.65250,3497616.02779
F39,12061263.72870,3497309.92276
F40,12060982.74560,3502599.39315
F41,12055941.66320,3511877.96809
F42,12056051.15670,3512732.58548
F43,12055349.10660,3512601.07328
F44,12055493.56990,3512018.67418
F45,12055724.50090,3511638.23170
F46,12064891.32930,3499921.53728
F47,12064281.11210,3500384.30309
F48,12063704.95010,3500852.20340
F49,12063139.92500,3501301.97481
F50,12061713.72970,3503171.03702
F51,12061318.02220,3503765.68740
F52,12060919.47670,3504329.23680
F53,12061871.84620,3504535.52871
F54,12062012.38590,3504626.02787
F55,12062406.63480,3504567.30686
F56,12063165.69010,3504735.68185
F57,12063454.26460,3505015.21148
F58,12064008.81340,3505893.10080
F59,12063813.82000,3506243.89570
F60,12064233.90410,3506632.27550
F61,12065207.46650,3508354.25697
F62,12065073.52680,3508325.76752
F63,12064868.35660,3508757.92807
F64,12064418.99560,3508600.04880
F65,12064322.42500,3508158.25276
F66,12064037.43470,3507785.62982
F67,12063409.87890,3507345.88300
F68,12063003.20980,3506889.27728
F69,12062263.90350,3506619.44941
F70,12062073.98230,3506231.15130
F71,12062500.09130,3506316.72594
F72,12062908.91170,3506247.29858
F73,12061237.72610,3505200.92272
F74,12061162.27480,3505751.61355
F75,12057849.69510,3514321.76340
F76,12058092.99940,3514248.92628
F77,12058326.84670,3513691.62917
F78,12058346.08230,3514039.22690
F79,12057551.39060,3513199.39951
F80,12057098.61300,3513253.46633
F81,12058112.29990,3513329.61677
F82,12056733.08320,3513493.88809
F83,12057010.72470,3513938.00170
F84,12057274.35180,3512951.02041
F85,12058424.39740,3514498.63707
F86,12057349.94880,3514523.65473
F87,12059998.74860,3505105.51051
F88,12059531.30720,3505430.78119
F89,12059941.87630,3506275.80312
F90,12060020.08580,3506757.17683
F91,12059238.30590,3507002.68880
F92,12059282.25920,3506562.75103
F93,12058855.69610,3505726.54109
F94,12058529.68130,3505608.09317
F95,12058237.04150,3506117.83723
F96,12057785.22580,3506685.43189
F97,12057434.08150,3507332.41715
F98,12057890.39030,3507608.64002
F99,12058274.49740,3508078.45502
F100,12059137.20440,3508109.05503
F101,12059810.77650,3508040.09847
F102,12060492.05110,3508232.23982
F103,12061195.41090,3508414.97371
F104,12062026.19990,3508377.16473
F105,12062794.20300,3508826.30622
F106,12062572.96030,3509305.63400
F107,12061715.84420,3509354.26186
F108,12061313.88600,3509893.41695
F109,12061328.42800,3510768.23442
F110,12062678.68050,3511369.63020
F111,12062791.66950,3510551.87560
F112,12063157.99260,3509713.61514
F113,12058806.76900,3512139.90556
F114,12058923.32680,3512618.36130
F115,12059834.99140,3513483.44749
F116,12060034.73180,3513728.10481
F117,12060126.17680,3513893.03427
F118,12060218.87610,3513565.08710
F119,12060469.53770,3513484.85071
F120,12060340.36700,3513215.00479
F121,12060585.54730,3513155.02066
F122,12061007.56580,3513107.81111
F123,12061166.19280,3513018.94810
F124,12042740.90050,3515065.45975
F125,12042310.86010,3515567.42003
F126,12041571.86970,3515502.17049
F127,12041109.81360,3515906.69363
F128,12041097.55110,3516553.81964
F129,12041267.41070,3516963.63115
F130,12040593.79030,3517047.37869
F131,12039608.93760,3518007.78687
F132,12039447.24340,3517288.53831
F133,12039528.61760,3516131.86116
F134,12039632.81260,3515611.73491
F135,12038947.29690,3515579.52401
F136,12039002.26890,3516148.67314
F137,12038989.89820,3516604.78672
F138,12038255.22740,3516061.39969
F139,12038222.09000,3516497.82008
F140,12038468.77390,3516891.81437
F141,12037539.59300,3516745.83237
F142,12037328.94090,3517073.89701
F143,12037083.91580,3517442.60067
F144,12036832.90780,3517946.01862
F145,12036644.85300,3518462.63931
F146,12036167.00880,3517986.83875
F147,12036393.47130,3517383.30223
F148,12036492.99870,3516887.52632
F149,12036903.16520,3517079.60106
F150,12036606.49450,3516674.91782
F151,12036750.24450,3516213.80654
F152,12057322.51610,3514826.12722
F153,12057002.88710,3514732.17564
F154,12056303.50070,3514673.55535
F155,11996384.43090,3464257.92291
F156,11996562.61200,3462790.72277
F157,11996665.50090,3461153.32086
F158,11996696.75870,3460674.83133
F159,11996790.53310,3459695.41039
F160,11997277.83920,3458449.89483
F161,11997760.33630,3458156.54929
F162,11999009.46800,3457796.18682
F163,12000256.59570,3457494.45416
F164,12001319.94730,3457893.54621
F165,12001726.19910,3457749.74794
F166,12002759.14620,3457511.59979
F167,12002665.92330,3457195.96788
F168,12001618.74820,3457270.17705
F169,12002200.87860,3457400.45566
F170,12004860.68400,3457365.61157
F171,12004988.82120,3458673.42916
F172,12004705.30310,3456490.93189
F173,12001488.96370,3457181.80649
F174,12002235.55110,3456996.81277
F175,12002542.73590,3456919.57604
F176,12003784.77600,3456607.92312
F177,12004434.69040,3456449.78039
F178,12005337.65190,3456195.30420
F179,12004975.92330,3455902.26607
F180,12006233.22290,3455630.61143
F181,12006118.32880,3455148.43392
F182,12007853.19470,3455578.96619
F183,12008666.35030,3455282.97794
F184,12007969.94780,3451455.19655
F185,12008219.52180,3451722.05658
F186,12008065.33180,3451089.93678
F187,12006256.96500,3455968.23510
F188,12056467.72250,3513493.34807
F189,12056036.02880,3513668.14430
F190,12055802.45740,3514039.70885
F191,12007709.55720,3450938.95775
F192,12007487.18140,3450968.99542
F193,12008191.08380,3452340.11965
F194,12008024.75570,3453635.24075
F195,12008290.60130,3454502.44702
F196,12059333.54060,3512959.09126
F197,12059440.04790,3512425.73307
F198,12057891.73340,3511630.99319
F199,12058136.26970,3511525.77818
F200,12057067.82100,3511173.80152
F201,12057985.39010,3512114.58376
F202,12059088.25760,3512458.59161
F203,12059320.95500,3513549.90176
F204,12058722.53460,3512887.99363
F205,12058532.73350,3513070.36072
F206,12058741.26290,3513268.18579
F207,12058588.90330,3513355.74696
F208,12058943.18240,3513436.91117
F209,12058810.14300,3513758.33310
F210,12058876.56220,3513933.78879
F211,12059127.21260,3514029.35290
F212,12059238.94040,3513871.77349
F213,12058172.75880,3514796.04789
F214,12057489.68570,3514166.67054
F215,12056768.70940,3514078.42400
F216,12056456.29240,3514195.57238
F217,12056661.26970,3514823.77159
F218,12058166.68960,3512946.20808
F219,12057861.09600,3512617.25041
F220,12057706.86540,3512898.09499
F221,12057560.25940,3512769.02241
F222,12054626.17010,3512090.33381
F223,12054954.77930,3512081.60417
F224,12054711.23720,3512402.13437
F225,12056712.49230,3511299.85803
F226,12056483.96430,3511209.40316
F227,12056282.59980,3511248.58287
F228,12055908.95200,3511085.86272
F229,12056537.86900,3510916.00020
F230,12056529.56100,3510591.71345
F231,12056383.56450,3510033.89632
F232,12056323.56730,3509378.04823
F233,12056515.75360,3507787.83454
F234,12021522.17130,3517735.06104
F235,12021583.62950,3517682.71731
F236,12021979.15340,3518227.69621
F237,12022624.49000,3518906.61709
F238,12023329.66380,3519280.38603
F239,12023635.90170,3519555.74342
F240,12023957.60020,3519672.07521
F241,12024507.28870,3519832.01059
F242,12024678.29100,3519495.10345
F243,12024537.64590,3520267.84698
F244,12024253.32560,3520255.30042
F245,12024780.19070,3520440.99263
F246,12024291.73930,3521039.05673
F247,12024552.35230,3521131.44106
F248,12024168.51120,3521397.97760
F249,12023957.09950,3521269.97917
F250,12024046.92350,3520875.99078
F251,12024453.72650,3521430.67110
F252,11977320.21450,3437713.71354
F253,11960319.70220,3433680.22259
F254,11965892.91180,3444676.78458
F255,11957013.61430,3424366.77960
F256,11967435.32480,3420737.07557
F257,11952314.99410,3416021.90160
F258,11952105.49260,3416563.46909
F259,11952273.88920,3416286.81938
F260,11950412.03400,3414264.41037
F261,11949960.91450,3413926.29228
F262,11950460.85480,3413713.73890
F263,11949615.53300,3413067.31106
F264,11948232.15980,3412223.43643
F265,11971815.61720,3422153.43855
F266,12059805.97340,3506616.61838
F267,12063224.96190,3506513.20684
F268,11996876.82200,3458715.17317
F269,12062373.22480,3505985.11932
F270,12049327.72730,3508184.33965
F271,12050931.42350,3507520.29275
F272,12050877.79860,3507146.82303
F273,12052339.17960,3508850.28944
F274,12052864.51050,3509428.99104
F275,12053247.45430,3509309.92599
F276,12052988.02370,3508630.84270
F277,12053527.26050,3508440.96808
F278,12054330.60670,3507976.21146
F279,12054889.40150,3507774.39756
F280,12042050.96620,3506834.68192
F281,12041710.82550,3507473.76627
F282,12041351.39280,3508022.58178
F283,12040867.33570,3508651.78754
F284,12040451.58820,3509185.18542
F285,12039933.40030,3509843.35897
F286,12039462.60560,3510409.31650
F287,12038990.50840,3510675.67457
F288,12038470.79030,3509560.09150
F289,12038157.17280,3508603.41723
F290,12038419.47220,3508421.94843
F291,12037648.71490,3513609.02795
F292,12038552.24160,3513362.86801
F293,12038379.49690,3513716.87616
F294,12038315.11310,3513948.48659
F295,12038984.74010,3514046.15437
F296,12038995.67940,3513570.50769
F297,12039560.13560,3513623.94557
F298,12040080.07420,3513578.26784
F299,12040177.01360,3513996.87823
F300,12039740.87340,3514075.06475
F301,12038958.86020,3514547.86564
F302,12039459.19090,3514568.69172
F303,12039498.55370,3515049.03984
F304,12039911.23490,3514480.67057
F305,12040588.20730,3515052.91844
F306,12040466.52190,3514378.52904
F307,12040873.54440,3514261.07914
F308,12041221.59260,3514117.09682
F309,12041027.11230,3513750.23305
F310,12040629.64300,3513888.15797
F311,12041669.15070,3513711.61567
F312,12041836.64480,3514089.41544
F313,12042211.49120,3513998.48452
F314,12042826.45290,3514045.57039
F315,12065346.28050,3507978.27478
F316,12065329.26550,3507416.55379
F317,11996560.71080,3465636.86602
F318,11997329.29250,3465858.43218
F319,11997875.00180,3466336.83674
F320,11998123.43270,3466119.77385
F321,11998765.02820,3465971.01955
F322,11998926.30180,3465494.11073
F323,11998506.36570,3465356.76881
F324,11997819.07440,3465699.22515
F325,11997671.63930,3465178.68190
F326,11998496.19010,3464302.26239
F327,11997861.07990,3464469.50779
F328,11998152.46740,3464035.74324
F329,11997861.01850,3463770.56562
F330,11997550.90990,3464269.64238
F331,11997268.62110,3464827.46902
F332,11997196.50740,3463875.32952
F333,11995781.85670,3462882.53623
F334,11995594.96600,3461851.55404
F335,11995252.53130,3460614.63033
F336,11997179.37060,3460142.81992
F337,11998546.91450,3460402.59565
F338,11997363.54050,3458686.27756
F339,11998152.55110,3458745.58683
F340,11998873.42820,3458846.72376
F341,11999603.49240,3458933.59728
F342,11999676.55950,3458506.55548
F343,12000037.52010,3458554.14134
F344,11999751.42880,3457837.32847
F345,12041863.98300,3526055.78062
F346,12042270.69180,3527255.97507
F347,12042697.20050,3527173.92175
F348,12043792.39520,3523952.20576
F349,12044153.65400,3524245.93975
F350,12044379.44880,3524624.91537
F351,12044726.26670,3524967.93863
F352,12044689.32740,3523990.51736
F353,12044963.15360,3523442.34031
F354,12045296.98070,3522063.42180
F355,12045760.55990,3521504.36190
F356,12046824.15710,3521129.30753
F357,12046650.34220,3520845.40882
F358,12047093.97320,3520669.15950
F359,12046077.60910,3520841.48691
F360,12044705.92380,3522983.16603
F361,12042368.40620,3521651.24317
F362,12041482.33610,3520260.51038
F363,12039960.39890,3520019.98757
F364,12040028.24650,3520497.83668
F365,12037868.78000,3519777.84993
F366,12038517.49200,3519593.27123
F367,12038429.77300,3519057.26640
F368,12038814.90870,3519061.29822
F369,12039421.39210,3518851.89870
F370,12039462.77980,3519489.55195
F371,12039059.56470,3519667.04340
F372,12038900.63160,3518603.98811
F373,12038714.23540,3517880.73070
F374,12038535.76000,3517576.15814
F375,12038105.94750,3517590.72832
F376,12037516.84340,3517837.78787
F377,12037295.24310,3518443.03633
F378,12037645.19980,3518564.52887
F379,12037896.66880,3519115.51891
F380,12037599.04890,3519282.25873
F381,12037339.91270,3518902.65090
F382,12037941.91900,3517974.97657
F383,12038600.46690,3518443.08193
F384,12039226.93350,3518143.91422
F385,12044762.12880,3524475.31692
F386,12045268.85910,3522794.02107
F387,12045008.12760,3522360.54719
F388,12046563.64190,3521440.57561
F389,12046525.70270,3520623.52541
F390,12047060.63040,3520492.42987
F391,11951081.55500,3414163.80033
F392,12037327.18790,3519835.24549
F393,12036478.06530,3519899.28768
F394,12036820.20830,3520340.96429
F395,12036525.05960,3520433.98051
F396,12037028.70790,3520811.21794
F397,12035785.14180,3520167.17330
F398,12035716.74000,3520587.19904
F399,12035875.10130,3521175.64077
F400,12035847.53380,3521492.53515
F401,12035486.49580,3521364.00424
F402,12035864.95240,3521840.99738
F403,12036250.66060,3522123.22221
F404,12036644.77720,3522181.67518
F405,12036208.32470,3522361.27193
F406,12036474.97050,3522401.36011
F407,12036565.62840,3522547.69118
F408,12036695.77680,3522571.85681
F409,12035753.24330,3519422.45038
F410,12034919.53400,3519342.72876
