FID,X,Y
F0,11952191.43,3416873.985
F1,11952136.31,3416338.985
F2,11949974.32,3411129.292
F3,11950691.46,3411883.712
F4,11949468.46,3411484.274
F5,11951194,3411578.504
F6,12045892.59,3521173.77
F7,11991993.12,3456521.858
F8,11993303.57,3457273.107
F9,11993814.64,3457808.501
F10,11994328.4,3458340.769
F11,11995086.95,3458520.5
F12,11992789.01,3457136.983
F13,11992807.11,3457475.813
F14,11997092.76,3457960.407
F15,11998052.1,3456904.152
F16,11997866.45,3457203.873
F17,12040292.93,3514997.97
F18,12027706.53,3521807.25
