NAME,PLACE_KEY,CAPITAL,POPULATION,PCLASS,STATE_NAME,STATE
Adak,0201600065,N,2500,2,Alaska,AK
Akhiok,0215000650,N,77,1,Alaska,AK
Akiachak,0205000760,N,2500,2,Alaska,AK
Akiak,0205000870,N,285,1,Alaska,AK
Akutan,0201301090,N,589,1,Alaska,AK
Alakanuk,0227001200,N,544,1,Alaska,AK
Alatna,0229001305,N,2500,2,Alaska,AK
Alcan Border,0224001390,N,2500,2,Alaska,AK
Aleknagik,0207001420,N,185,1,Alaska,AK
Aleneva,0215001560,N,2500,2,Alaska,AK
Allakaket,0229001860,N,2500,2,Alaska,AK
Alpine,0218501882,N,2500,2,Alaska,AK
Ambler,0218801970,N,311,1,Alaska,AK
Anaktuvuk Pass,0218502080,N,259,1,Alaska,AK
Anchorage,0202003000,N,226338,5,Alaska,AK
Anchor Point,0212203110,N,2500,2,Alaska,AK
Anderson,0206803220,N,2500,2,Alaska,AK
Angoon,0223203440,N,2500,2,Alaska,AK
Aniak,0205003550,N,540,1,Alaska,AK
Anvik,0229003880,N,82,1,Alaska,AK
Arctic Village,0229003990,N,2500,2,Alaska,AK
Atka,0201604210,N,2500,2,Alaska,AK
Atmautluak,0205004430,N,2500,2,Alaska,AK
Atqasuk,0218504500,N,216,1,Alaska,AK
Attu Station,0201604670,N,2500,2,Alaska,AK
Barrow,0218505200,N,3469,2,Alaska,AK
Bear Creek,0212205585,N,2500,2,Alaska,AK
Beaver,0229005750,N,2500,2,Alaska,AK
Beluga,0212206245,N,2500,2,Alaska,AK
Bethel,0205006520,N,4674,2,Alaska,AK
Bettles,0229006630,N,36,1,Alaska,AK
Big Delta,0224006850,N,2500,2,Alaska,AK
Big Lake,0217007070,N,2500,2,Alaska,AK
Birch Creek,0229007620,N,2500,2,Alaska,AK
Brevig Mission,0218008740,N,198,1,Alaska,AK
Buckland,0218809600,N,318,1,Alaska,AK
Buffalo Soapstone,0217009657,N,2500,2,Alaska,AK
Butte,0217009710,N,2500,2,Alaska,AK
Cantwell,0206810150,N,2500,2,Alaska,AK
Central,0229011690,N,2500,2,Alaska,AK
Chalkyitsik,0229011800,N,2500,2,Alaska,AK
Chase,0217012350,N,2500,2,Alaska,AK
Chefornak,0205012680,N,320,1,Alaska,AK
Chenega,0226112970,N,2500,2,Alaska,AK
Chickaloon,0217013340,N,2500,2,Alaska,AK
Chicken,0224013450,N,2500,2,Alaska,AK
Chignik,0216413550,N,188,1,Alaska,AK
Chignik Lagoon,0216413670,N,2500,2,Alaska,AK
Chignik Lake,0216413780,N,2500,2,Alaska,AK
Chiniak,0215013860,N,2500,2,Alaska,AK
Chisana,0226113890,N,2500,2,Alaska,AK
Chistochina,0226114000,N,2500,2,Alaska,AK
Chitina,0226114110,N,2500,2,Alaska,AK
Chuathbaluk,0205014330,N,97,1,Alaska,AK
Chugiak,0202014770,N,7500,2,Alaska,AK
Circle,0229014880,N,2500,2,Alaska,AK
Clam Gulch,0212215320,N,2500,2,Alaska,AK
Clark's Point,0207015450,N,60,1,Alaska,AK
Coffman Cove,0220116360,N,186,1,Alaska,AK
Cohoe,0212216420,N,2500,2,Alaska,AK
Cold Bay,0201316530,N,148,1,Alaska,AK
Coldfoot,0229016630,N,2500,2,Alaska,AK
College,0209016750,N,15000,3,Alaska,AK
Cooper Landing,0212217190,N,2500,2,Alaska,AK
Copper Center,0226117300,N,2500,2,Alaska,AK
Copperville,0226117380,N,2500,2,Alaska,AK
Cordova,0226117410,N,2110,1,Alaska,AK
Covenant Life,0210017670,N,2500,2,Alaska,AK
Craig,0220117740,N,1260,1,Alaska,AK
Crooked Creek,0205017850,N,2500,2,Alaska,AK
Crown Point,0212217960,N,2500,2,Alaska,AK
Cube Cove,0223218030,N,2500,2,Alaska,AK
Deering,0218818510,N,157,1,Alaska,AK
Delta Junction,0224018620,N,652,1,Alaska,AK
Deltana,0224018675,N,2500,2,Alaska,AK
Diamond Ridge,0212218925,N,2500,2,Alaska,AK
Dillingham,0207018950,N,2017,1,Alaska,AK
Diomede,0218019060,N,2500,2,Alaska,AK
Dot Lake,0224019720,N,2500,2,Alaska,AK
Dot Lake Village,0224019750,N,2500,2,Alaska,AK
Dry Creek,0224020020,N,2500,2,Alaska,AK
Eagle,0224020380,N,168,1,Alaska,AK
Eagle River,0202020490,N,35000,4,Alaska,AK
Eagle Village,0224020600,N,2500,2,Alaska,AK
Edna Bay,0220120970,N,2500,2,Alaska,AK
Eek,0205021040,N,254,1,Alaska,AK
Egegik,0216421150,N,2500,2,Alaska,AK
Eielson AFB,0209021370,N,7500,2,Alaska,AK
Ekwok,0207021810,N,77,1,Alaska,AK
Elfin Cove,0223222140,N,2500,2,Alaska,AK
Elim,0218022250,N,2500,2,Alaska,AK
Emmonak,0227022910,N,642,1,Alaska,AK
English Bay,0212223130,N,0,1,Alaska,AK
Ester,0209023460,N,2500,2,Alaska,AK
Evansville,0229023790,N,2500,2,Alaska,AK
Excursion Inlet,0223223900,N,0,1,Alaska,AK
Fairbanks,0209024230,N,30843,4,Alaska,AK
False Pass,0201324660,N,2500,2,Alaska,AK
False Pass,0201324670,N,69,1,Alaska,AK
Farm Loop,0217025000,N,2500,2,Alaska,AK
Ferry,0206825220,N,2500,2,Alaska,AK
Fishhook,0217025550,N,2500,2,Alaska,AK
Flat,0229025880,N,2500,2,Alaska,AK
Fort Greely,0224026100,N,2500,2,Alaska,AK
Fort Richardson,0202026210,N,7500,2,Alaska,AK
Fort Yukon,0229026760,N,580,1,Alaska,AK
Four Mile Road,0229026835,N,2500,2,Alaska,AK
Fox,0209026870,N,2500,2,Alaska,AK
Fox River,0212226910,N,2500,2,Alaska,AK
Fritz Creek,0212227090,N,2500,2,Alaska,AK
Funny River,0212227145,N,2500,2,Alaska,AK
Gakona,0226127420,N,2500,2,Alaska,AK
Galena,0229027530,N,833,1,Alaska,AK
Gambell,0218027640,N,525,1,Alaska,AK
Game Creek,0223227700,N,2500,2,Alaska,AK
Gateway,0217028200,N,2500,2,Alaska,AK
Girdwood,0202028410,N,0,1,Alaska,AK
Glacier View,0217028590,N,2500,2,Alaska,AK
Glennallen,0226128740,N,2500,2,Alaska,AK
Golovin,0218029180,N,127,1,Alaska,AK
Goodnews Bay,0205029290,N,241,1,Alaska,AK
Grayling,0229030060,N,208,1,Alaska,AK
Gulkana,0226130500,N,2500,2,Alaska,AK
Gustavus,0223230940,N,2500,2,Alaska,AK
Haines,0210031050,N,1238,1,Alaska,AK
Halibut Cove,0212231270,N,2500,2,Alaska,AK
Happy Valley,0212231710,N,2500,2,Alaska,AK
Harding-Birch Lakes,0209031765,N,2500,2,Alaska,AK
Healy,0206832150,N,2500,2,Alaska,AK
Healy Lake,0224032310,N,2500,2,Alaska,AK
Hobart Bay,0223232550,N,2500,2,Alaska,AK
Hollis,0220132810,N,2500,2,Alaska,AK
Holy Cross,0229033030,N,277,1,Alaska,AK
Homer,0212233140,N,3660,2,Alaska,AK
Hoonah,0223233360,N,2500,2,Alaska,AK
Hooper Bay,0227033470,N,845,1,Alaska,AK
Hope,0212233580,N,2500,2,Alaska,AK
Houston,0217033800,N,697,1,Alaska,AK
Hughes,0229033910,N,54,1,Alaska,AK
Huslia,0229034350,N,207,1,Alaska,AK
