FID,X,Y,N1,D1,N2,D2,N3,D3
F0,11952191.43110,3416873.98455,F258,322.1882627929231,F1,537.8322160331685,F259,592.9268716437757
F1,11952136.30780,3416338.98463,F259,147.13889673845355,F258,226.58960552631336,F257,363.9648907815795
F2,11949974.32300,3411129.29230,F568,225.99003893337888,F4,617.9857504482468,F563,635.1631175903138
F3,11950691.45770,3411883.71205,F567,313.10215034221426,F569,559.1200827096575,F5,587.9614842056947
F4,11949468.46310,3411484.27420,F563,317.51412309782813,F565,494.7818509037822,F568,556.2750601530828
F5,11951193.99800,3411578.50400,F571,342.327120293003,F573,472.31653373089296,F3,587.9614842056947
F6,12045892.58780,3521173.77004,F355,355.9808200963642,F359,380.3221791270049,F388,722.1487501264238
F7,11991993.12380,3456521.85801,F553,286.46472285530086,F554,624.1745366846033,F555,731.1985380084259
F8,11993303.56630,3457273.10749,F12,532.2543143574599,F13,536.2445954542404,F9,740.1639998518904
F9,11993814.64010,3457808.50110,F458,387.21887432258814,F10,739.771623855142,F8,740.1639998518904
F10,11994328.40320,3458340.76939,F458,352.6163207831843,F9,739.771623855142,F11,779.5463962545152
F11,11995086.94760,3458520.49968,F459,566.7942392438875,F10,779.5463962545152,F458,1094.88838742058
F12,11992789.01320,3457136.98342,F13,339.31297390186927,F555,379.3153835407122,F8,532.2543143574599
F13,11992807.11030,3457475.81345,F12,339.31297390186927,F8,536.2445954542404,F555,713.5021599191363
F14,11997092.75530,3457960.40664,F462,253.5790305675466,F461,402.51841527322404,F160,523.3113205237169
F15,11998052.09980,3456904.15219,F16,352.5608951120565,F463,1122.5626606611117,F161,1285.9332937679012
F16,11997866.44800,3457203.87305,F15,352.5608951120565,F463,947.3285325364373,F161,958.5675308174011
F17,12040292.93000,3514997.97006,F305,300.34648051878753,F304,642.8762802581018,F306,643.30500153869
F18,12027706.53000,3521807.25007,F724,255.5800713061718,F731,371.2778354903827,F722,419.59422994709246
F19,12044515.01770,3493393.22947,F712,10963.742659333087,F769,13363.92998350521,F759,13461.042468144826
F20,12061267.18270,3504736.56571,F73,465.2903652770915,F793,488.98976068710164,F52,535.5523348451405
F21,12057554.09430,3511683.84184,F198,341.7501158095133,F199,603.2514541862516,F201,609.5528432738599
F22,12058366.91820,3504748.85604,F23,525.2981948241547,F94,874.5171652357194,F24,1022.3716863977774
F23,12057919.24060,3505023.67045,F24,497.0882245445551,F22,525.2981948241547,F94,845.0963044934598
F24,12057498.42220,3505288.26179,F23,497.0882245445551,F22,1022.3716863977774,F94,1079.7163715366564
F25,12060492.40640,3502333.84414,F40,557.6278398428781,F26,804.5089002505415,F50,1480.7168944270536
F26,12060142.29650,3501609.51160,F25,804.5089002505415,F29,936.3693352661802,F31,1138.0169656250976
F27,12059649.42120,3503573.78556,F28,718.0710784563339,F52,1477.7508413461915,F25,1499.359454051074
F28,12059073.90530,3503144.35859,F27,718.0710784563339,F25,1633.7316316823449,F22,1753.351883286803
F29,12060287.13780,3500684.41240,F31,561.0546473964506,F33,572.9200622529985,F26,936.3693352661802
F30,12059268.38780,3500020.52363,F32,414.961956080478,F31,706.9138090898501,F33,1168.1325621011083
F31,12059744.08240,3500543.44024,F29,561.0546473964506,F30,706.9138090898501,F33,802.0965982266678
F32,12059432.45710,3499639.37446,F30,414.961956080478,F31,956.2663134119455,F33,1112.8869774720079
F33,12060431.38390,3500129.94828,F29,572.9200622529985,F31,802.0965982266678,F34,852.474028310646
F34,12060670.76530,3499311.77439,F35,667.111650343612,F33,852.474028310646,F37,1196.808205472143
F35,12060757.66800,3498650.34724,F37,541.241189473105,F34,667.111650343612,F36,760.8072826284773
F36,12060110.00460,3498251.14824,F35,760.8072826284773,F37,868.3179642856666,F34,1199.7418025261204
F37,12060972.83880,3498153.71503,F35,541.241189473105,F38,612.2478509282647,F36,868.3179642856666
F38,12061265.65250,3497616.02779,F39,306.1110752616862,F37,612.2478509282647,F35,1152.3302377740806
F39,12061263.72870,3497309.92276,F38,306.1110752616862,F37,892.5258140997183,F35,1432.771865535156
F40,12060982.74560,3502599.39315,F25,557.6278398428781,F50,927.9625361836149,F767,1193.1716981573845
F41,12055941.66320,3511877.96809,F45,323.4702478306284,F44,469.6656356045505,F227,715.7957253112438
F42,12056051.15670,3512732.58548,F43,714.2617179014956,F41,861.602988523301,F188,867.3446743210235
F43,12055349.10660,3512601.07328,F44,600.048628636045,F223,652.1826245528904,F224,668.1721794332755
F44,12055493.56990,3512018.67418,F45,445.04562389674373,F41,469.6656356045505,F223,542.4532185264615
F45,12055724.50090,3511638.23170,F41,323.4702478306284,F44,445.04562389674373,F228,582.3518681664441
F46,12064891.32930,3499921.53728,F47,765.8441264910413,F48,1507.8577628906467,F49,2230.0279810547026
F47,12064281.11210,3500384.30309,F48,742.221901012486,F46,765.8441264910413,F49,1464.3870331614653
F48,12063704.95010,3500852.20340,F49,722.1825841721487,F47,742.221901012486,F766,1492.0116401282116
F49,12063139.92500,3501301.97481,F48,722.1825841721487,F766,773.802381574779,F47,1464.3870331614653
F50,12061713.72970,3503171.03702,F51,714.2783070974845,F767,812.087601222057,F40,927.9625361836149
F51,12061318.02220,3503765.68740,F52,690.2365115015017,F50,714.2783070974845,F53,948.3547150510957
F52,12060919.47670,3504329.23680,F20,535.5523348451405,F51,690.2365115015017,F793,722.9530844785999
F53,12061871.84620,3504535.52871,F54,167.15712738805226,F55,535.7319269065054,F20,637.20783391371
F54,12062012.38590,3504626.02787,F53,167.15712738805226,F55,398.59798314421056,F20,753.3567703029554
F55,12062406.63480,3504567.30686,F54,398.59798314421056,F53,535.7319269065054,F56,777.5056821106443
F56,12063165.69010,3504735.68185,F57,401.7611928725568,F55,777.5056821106443,F54,1158.5053185314339
F57,12063454.26460,3505015.21148,F56,401.7611928725568,F58,1038.3708536706215,F55,1139.3624298106618
F58,12064008.81340,3505893.10080,F59,401.3470915674497,F60,772.6869096513838,F267,999.4772007894794
F59,12063813.82000,3506243.89570,F58,401.3470915674497,F60,572.1097098644071,F267,647.5201557206967
F60,12064233.90410,3506632.27550,F790,527.539190838845,F59,572.1097098644071,F58,772.6869096513838
F61,12065207.46650,3508354.25697,F62,136.9360872720397,F315,400.78913881671326,F63,527.2057295334204
F62,12065073.52680,3508325.76752,F61,136.9360872720397,F315,441.75308172906426,F63,478.3905851330022
F63,12064868.35660,3508757.92807,F64,476.2889587386196,F62,478.3905851330022,F61,527.2057295334204
F64,12064418.99560,3508600.04880,F65,452.22740047882877,F63,476.2889587386196,F62,709.6769070010946
F65,12064322.42500,3508158.25276,F64,452.22740047882877,F66,469.1133407923308,F62,769.5551369322397
F66,12064037.43470,3507785.62982,F65,469.1133407923308,F67,766.2920773514971,F64,899.3703327294187
