Rank,Name,POP2010,AREAkm,AREAmi
1,"New York--Newark, NY—NJ—CT",18351295,8936.00,3450.20
2,"Los Angeles--Long Beach--Anaheim, CA",12150996,4496.30,1736.00
3,"Chicago, IL—IN",8608208,6326.70,2442.80
4,"Miami, FL",5502379,3208.00,1238.60
5,"Philadelphia, PA—NJ—DE—MD",5441567,5131.70,1981.40
6,"Dallas--Fort Worth--Arlington, TX",5121892,4607.90,1779.10
7,"Houston, TX",4944332,4299.40,1660.00
8,"Washington, DC—VA—MD",4586770,3423.30,1321.70
9,"Atlanta, GA",4515419,6851.40,2645.40
10,"Boston, MA—NH—RI",4181019,4852.20,1873.50
11,"Detroit, MI",3734090,3463.20,1337.20
12,"Phoenix--Mesa, AZ",3629114,2969.60,1146.60
13,"San Francisco--Oakland, CA",3281212,1356.20,523.60
14,"Seattle, WA",3059393,2616.70,1010.30
15,"San Diego, CA",2956746,1896.90,732.40
16,"Minneapolis--St. Paul, MN—WI",2650890,2646.50,1021.80
17,"Tampa--St. Petersburg, FL",2441770,2478.60,957.00
18,"Denver--Aurora, CO",2374203,1730.00,668.00
19,"Baltimore, MD",2203663,1857.10,717.00
20,"St. Louis, MO—IL",2150706,2392.20,923.60
21,"San Juan, PR",2148346,2244.70,866.70
22,"Riverside--San Bernardino, CA",1932666,1411.50,545.00
23,"Las Vegas--Henderson, NV",1886011,1079.60,416.80
24,"Portland, OR—WA",1849898,1358.10,524.40
25,"Cleveland, OH",1780673,1999.40,772.00
26,"San Antonio, TX",1758210,1546.50,597.10
27,"Pittsburgh, PA",1733853,2344.40,905.20
28,"Sacramento, CA",1723634,1219.80,471.00
29,"San Jose, CA",1664496,740.70,286.00
30,"Cincinnati, OH—KY—IN",1624827,2040.20,787.70
31,"Kansas City, MO—KS",1519417,1755.60,677.80
32,"Orlando, FL",1510516,1548.00,597.70
33,"Indianapolis, IN",1487483,1827.90,705.70
34,"Virginia Beach, VA",1439666,1335.00,515.50
35,"Milwaukee, WI",1376476,1413.20,545.60
36,"Columbus, OH",1368035,1322.10,510.50
37,"Austin, TX",1362416,1354.70,523.00
38,"Charlotte, NC—SC",1249442,1920.50,741.50
39,"Providence, RI—MA",1190956,1411.70,545.10
40,"Jacksonville, FL",1065219,1373.60,530.40
41,"Memphis, TN—MS—AR",1060061,1288.00,497.30
42,"Salt Lake City--West Valley City, UT",1021243,719.70,277.90
43,"Louisville/Jefferson County, KY—IN",972546,1234.70,476.70
44,"Nashville-Davidson, TN",969587,1459.40,563.50
45,"Richmond, VA",953556,1274.70,492.20
46,"Buffalo, NY",935906,984.00,379.90
47,"Hartford, CT",924859,1337.10,516.30
48,"Bridgeport--Stamford, CT—NY",923311,1207.50,466.20
49,"New Orleans, LA",899703,651.10,251.40
50,"Raleigh, NC",884891,1342.00,518.10
51,"Oklahoma City, OK",861505,1063.50,410.60
52,"Tucson, AZ",843168,915.50,353.50
53,"El Paso, TX—NM",803086,649.00,250.60
54,"Urban Honolulu, HI",802459,440.70,170.20
55,"Birmingham, AL",749495,1372.40,529.90
56,"Albuquerque, NM",741318,649.00,250.60
57,"McAllen, TX",728825,927.20,358.00
58,"Omaha, NE—IA",725008,702.40,271.20
59,"Dayton, OH",724091,910.20,351.40
60,"Rochester, NY",720572,840.40,324.50
61,"Allentown, PA—NJ",664651,896.90,346.30
62,"Tulsa, OK",655479,870.00,335.90
63,"Fresno, CA",654628,443.60,171.30
64,"Sarasota--Bradenton, FL",643260,846.10,326.70
65,"Springfield, MA—CT",621300,902.80,348.60
66,"Concord, CA",615968,527.70,203.80
67,"Albany--Schenectady, NY",594962,765.90,295.70
68,"Baton Rouge, LA",594309,950.00,366.80
69,"Mission Viejo--Lake Forest--San Clemente, CA",583681,389.90,150.50
70,"Grand Rapids, MI",569935,726.70,280.60
71,"Akron, OH",569499,842.70,325.40
72,"New Haven, CT",562839,792.80,306.10
73,"Colorado Springs, CO",559409,486.50,187.80
74,"Knoxville, TN",558696,1134.80,438.20
75,"Columbia, SC",549777,984.30,380.00
76,"Charleston--North Charleston, SC",548404,759.80,293.40
77,"Ogden--Layton, UT",546026,563.50,217.60
78,"Cape Coral, FL",530290,855.50,330.30
79,"Bakersfield, CA",523994,358.60,138.40
80,"Toledo, OH—MI",507643,622.70,240.40
81,"Worcester, MA—CT",486514,787.60,304.10
82,"Provo--Orem, UT",482819,437.60,169.00
83,"Wichita, KS",472870,556.20,214.70
84,"Palm Bay--Melbourne, FL",452791,600.80,232.00
85,"Des Moines, IA",450070,519.50,200.60
86,"Harrisburg, PA",444474,672.60,259.70
87,"Murrieta--Temecula--Menifee, CA",441546,418.90,161.70
88,"Little Rock, AR",431388,669.00,258.30
89,"Poughkeepsie--Newburgh, NY—NJ",423566,847.30,327.10
90,"Syracuse, NY",412317,504.90,194.90
91,"Lancaster, PA",402004,641.10,247.50
92,"Madison, WI",401661,391.10,151.00
93,"Greenville, SC",400492,829.40,320.30
