DensityIndex,Rank,Name,POP2010,AREAkm,AREAmi,Density
1,170,"Hickory, NC",212195,677.60,261.60,313.1567296340024
2,410,"Hammond, LA",67629,198.50,76.60,340.7002518891688
3,152,"Barnstable Town, MA",246695,718.10,277.30,343.53850438657565
4,426,"Gadsden, AL",64172,186.60,72.00,343.9013933547696
5,355,"Homosassa Springs--Beverly Hills--Citrus Springs, FL",80962,234.30,90.50,345.5484421681605
6,360,"Anniston--Oxford, AL",79796,224.70,86.80,355.1223854027593
7,433,"Los Lunas, NM",63758,179.40,69.30,355.3957636566332
8,291,"Kingsport, TN—VA",106571,294.10,113.60,362.3631417885073
9,192,"Spartanburg, SC",180786,492.20,190.00,367.30190979276716
10,329,"Portsmouth, NH—ME",88200,240.00,92.70,367.5
11,449,"Morristown, TN",59036,155.00,59.80,380.8774193548387
12,401,"Hilton Head Island, SC",68998,175.10,67.60,394.0491147915477
13,370,"Anderson, SC",75702,191.90,74.10,394.48671182907765
14,245,"Gainesville, GA",130846,327.00,126.30,400.1406727828746
15,481,"Cartersville, GA",52477,131.10,50.60,400.28222730739895
16,458,"Daphne--Fairhope, AL",57383,143.10,55.30,400.99930118798045
17,472,"East Stroudsburg, PA—NJ",54316,134.90,52.10,402.6389918458117
18,430,"Beckley, WV",64022,157.90,61.00,405.45915136162125
19,338,"Dalton, GA",85239,209.30,80.80,407.257525083612
20,133,"Asheville, NC",280648,686.00,264.90,409.10787172011663
21,397,"Bristol--Bristol, TN—VA",69501,165.50,63.90,419.94561933534743
22,259,"Johnson City, TN",120415,284.70,109.90,422.95398665261683
23,295,"Rock Hill, SC",104996,247.70,95.60,423.8837303189342
24,380,"Sumter, SC",73107,170.10,65.70,429.7883597883598
25,166,"Myrtle Beach--Socastee, SC—NC",215304,493.10,190.40,436.6335428919083
26,228,"Lake Charles, LA",143440,327.70,126.50,437.7174244736039
27,442,"Goldsboro, NC",61054,137.00,52.90,445.64963503649636
28,262,"South Lyon--Howell, MI",119509,266.20,102.80,448.9444027047333
29,495,"New Bern, NC",50503,112.40,43.40,449.31494661921704
30,357,"Hattiesburg, MS",80358,178.70,69.00,449.6810296586458
31,425,"Fairbanks, AK",64513,142.80,55.10,451.7717086834734
32,491,"Brunswick, GA",51024,112.40,43.40,453.95017793594303
33,451,"Lexington Park--California--Chesapeake Ranch Estates, MD",58875,129.30,49.90,455.3364269141531
34,302,"Longview, TX",98884,215.10,83.00,459.7117619711762
35,167,"Concord, NC",214881,466.70,180.20,460.4263981144204
36,392,"Decatur, AL",70436,151.00,58.30,466.4635761589404
37,95,"Winston-Salem, NC",391024,835.50,322.60,468.01196888090965
38,365,"Texarkana--Texarkana, TX—AR",78162,166.80,64.40,468.59712230215825
39,200,"Gastonia, NC—SC",169495,359.10,138.60,471.9994430520746
40,414,"Cleveland, TN",66777,141.40,54.60,472.25601131541725
41,466,"Hot Springs, AR",55121,116.40,44.90,473.5481099656357
