['DensityIndex', 'Rank', 'Name', 'POP2010', 'AREAkm', 'AREAmi', 'Density']
1,125,"Ann Arbor, MI",306022,413.30,159.60,740.4355189934672
2,133,"Asheville, NC",280648,686.00,264.90,409.10787172011663
3,137,"Antioch, CA",277634,210.70,81.40,1317.6744186046512
4,149,"Anchorage, AK",251243,220.10,85.00,1141.4947751022262
5,150,"Atlantic City, NJ",248402,324.10,125.10,766.4362850971921
6,165,"Appleton, WI",216154,268.80,103.80,804.1443452380952
7,169,"Aberdeen--Bel Air South--Bel Air North, MD",213751,339.60,131.10,629.4199057714958
8,181,"Avondale--Goodyear, AZ",197041,227.70,87.90,865.3535353535354
9,182,"Amarillo, TX",196651,210.20,81.20,935.5423406279734
10,232,"Arecibo, PR",139171,217.70,84.10,639.2788240698209
11,249,"Athens-Clarke County, GA",128754,254.80,98.40,505.3139717425432
12,282,"Abilene, TX",110421,141.80,54.70,778.7094499294781
13,309,"Albany, GA",95779,183.50,70.80,521.9564032697548
14,330,"Anderson, IN",88133,171.10,66.10,515.0964348334307
15,343,"Alton, IL—MO",83890,141.90,54.80,591.1909795630726
16,346,"Alexandria, LA",82804,169.80,65.50,487.65606595995285
17,359,"Altoona, PA",79930,96.80,37.40,825.7231404958678
18,360,"Anniston--Oxford, AL",79796,224.70,86.80,355.1223854027593
19,370,"Anderson, SC",75702,191.90,74.10,394.48671182907765
20,374,"Auburn, AL",74741,129.30,49.90,578.0433101314771
21,445,"Ames, IA",60438,60.20,23.20,1003.9534883720929
22,459,"Albany, OR",56997,62.10,24.00,917.8260869565217
23,482,"Arroyo Grande--Grover Beach, CA",52000,59.60,23.00,872.48322147651
24,108,"Boise, ID",349684,346.60,133.80,1008.8978649740334
25,121,"Bonita Springs, FL",310298,484.20,187.00,640.8467575382074
26,152,"Barnstable Town, MA",246695,718.10,277.30,343.53850438657565
27,164,"Brownsville, TX",217585,211.20,81.50,1030.2320075757577
28,180,"Bremerton, WA",198979,353.50,136.50,562.8826025459689
29,210,"Binghamton, NY—PA",158084,192.00,74.10,823.3541666666666
30,222,"Beaumont, TX",147922,237.50,91.70,622.8294736842105
31,243,"Bloomington--Normal, IL",132600,127.40,49.20,1040.8163265306123
32,261,"Burlington, NC",119911,234.20,90.40,512.002561912895
33,273,"Billings, MT",114773,137.20,53.00,836.5379008746356
34,274,"Boulder, CO",114591,84.10,32.50,1362.5564803804996
35,275,"Bellingham, WA",114473,124.60,48.10,918.7239165329054
36,285,"Burlington, VT",108740,159.90,61.80,680.0500312695434
37,286,"Bloomington, IN",108657,116.00,44.80,936.698275862069
38,328,"Blacksburg, VA",88542,132.60,51.20,667.737556561086
39,344,"Bend, OR",83794,102.90,39.70,814.3245869776482
40,349,"Bismarck, ND",81955,100.40,38.80,816.2848605577689
41,363,"Battle Creek, MI",78393,137.30,53.00,570.9613983976693
42,364,"Bowling Green, KY",78306,117.60,45.40,665.8673469387755
43,390,"Bay City, MI",70585,104.40,40.30,676.1015325670497
44,397,"Bristol--Bristol, TN—VA",69501,165.50,63.90,419.94561933534743
45,430,"Beckley, WV",64022,157.90,61.00,405.45915136162125
46,432,"Beloit, WI—IL",63835,89.00,34.40,717.2471910112359
47,441,"Bangor, ME",61210,110.10,42.50,555.9491371480473
48,443,"Benton Harbor--St. Joseph--Fair Plain, MI",61022,120.90,46.70,504.7311827956989
49,474,"Bloomsburg--Berwick, PA",53618,84.70,32.70,633.0342384887839
50,491,"Brunswick, GA",51024,112.40,43.40,453.95017793594303
51,100,"Chattanooga, TN—GA",381112,777.30,300.10,490.30232857326644
52,116,"Corpus Christi, TX",320069,311.50,120.30,1027.5088282504014
53,135,"Canton, OH",279245,431.10,166.50,647.7499420088146
54,147,"Columbus, GA—AL",253602,380.80,147.10,665.9716386554621
55,154,"Conroe--The Woodlands, TX",239938,345.30,133.30,694.8682305241819
56,167,"Concord, NC",214881,466.70,180.20,460.4263981144204
57,193,"Cedar Rapids, IA",177844,216.10,83.50,822.9708468301712
58,197,"College Station--Bryan, TX",171345,185.00,71.40,926.1891891891892
59,208,"Clarksville, TN—KY",158655,283.80,109.60,559.0380549682875
60,214,"Charleston, WV",153199,254.40,98.20,602.1973270440251
61,224,"Champaign, IL",145361,121.50,46.90,1196.3868312757202
62,255,"Columbia, MO",124748,160.10,61.80,779.1880074953154
63,304,"Coeur d'Alene, ID",98378,122.30,47.20,804.3990188062143
64,306,"Chico, CA",98176,89.10,34.40,1101.8630751964085
65,317,"Charlottesville, VA",92359,89.50,34.60,1031.9441340782123
66,377,"Cheyenne, WY",73588,91.00,35.10,808.6593406593406
67,386,"Camarillo, CA",71772,57.00,22.00,1259.157894736842
68,408,"Carbondale, IL",67821,126.10,48.70,537.8350515463918
69,414,"Cleveland, TN",66777,141.40,54.60,472.25601131541725
70,421,"Conway, AR",65277,102.80,39.70,634.9902723735408
71,424,"Casper, WY",64548,78.60,30.30,821.2213740458016
72,436,"Corvallis, OR",62433,54.70,21.10,1141.3711151736745
73,454,"Carson City, NV",58079,59.80,23.10,971.2207357859533
74,467,"Columbus, IN",54933,70.60,27.30,778.0878186968839
75,478,"Cape Girardeau, MO—IL",52900,90.70,35.00,583.2414553472988
76,481,"Cartersville, GA",52477,131.10,50.60,400.28222730739895
77,484,"Cumberland, MD—WV—PA",51899,84.50,32.60,614.189349112426
78,488,"Casa Grande, AZ",51331,57.70,22.30,889.6187175043327
79,493,"Chambersburg, PA",50887,96.80,37.40,525.6921487603306
80,104,"Denton--Lewisville, TX",366174,376.00,145.20,973.8670212765958
81,110,"Durham, NC",347602,470.70,181.70,738.4788612704483
82,134,"Davenport, IA—IL",280051,358.00,138.20,782.2653631284916
83,190,"Deltona, FL",182169,249.80,96.50,729.2594075260208
84,201,"Danbury, CT—NY",168136,341.00,131.70,493.0674486803519
85,260,"Duluth, MN—WI",120378,182.50,70.50,659.6054794520549
86,280,"Dover, DE",110769,191.70,74.00,577.8247261345854
87,313,"Decatur, IL",93863,153.30,59.20,612.283105022831
